,Less_than_high,High_school,Some_col,Bachelor_or_higher,time
1,21594,25049,10931,9592,2005
2,11347,27965,9689,7438,2006
3,10320,26161,9889,7955,2007
4,18269,22325,6486,8224,2008
5,13908,21301,10980,10655,2009
6,14376,28606,12274,7395,2010
7,9038,23606,8040,12352,2011
8,8035,22269,5614,9860,2012
9,10600,22941,11173,9566,2013
10,8661,26031,9656,6134,2014
11,6438,28647,11978,7867,2015
12,9487,26276,14302,12779,2016
13,6912,33995,11137,12130,2017
14,4715,32477,14336,15195,2018
15,8480,30589,13323,15368,2019