"","year","state_code","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2"
"365",2012,37,0,888,1788,0,0,322,0,0,0,0
"366",2012,38,0,26,0,0,0,0,0,0,0,0
"367",2012,39,0,406,43,730,0,0,0,0,0,0
"368",2012,40,0,50,74,0,0,126,0,0,0,0
"369",2012,41,0,433,398,0,0,103,0,0,0,0
"370",2012,42,0,3133,969,1127,0,262,0,828,220,0
"371",2012,44,0,65,131,0,0,0,0,0,0,0
"372",2012,45,0,220,374,1175,0,0,0,0,0,239
"373",2012,46,0,0,0,0,0,0,0,0,0,0
"374",2012,47,0,0,0,0,0,135,0,0,0,0
"375",2012,48,0,1715,3491,0,0,862,0,217,106,0
"376",2012,49,0,1194,732,109,0,484,0,81,0,0
"377",2012,50,0,0,119,0,0,0,0,0,123,0
"378",2012,51,0,652,347,53,0,294,0,166,59,0
"379",2012,53,0,104,635,167,0,251,0,0,0,330
"380",2012,54,0,0,0,0,0,0,0,0,163,0
"381",2012,55,0,0,0,156,0,54,0,131,0,0
"382",2012,56,0,0,45,0,0,54,0,0,0,0
"383",2013,1,0,0,54,0,0,291,0,0,0,0
"384",2013,2,0,0,43,235,0,0,0,0,0,68
"385",2013,4,0,359,575,0,0,0,0,0,181,77
"386",2013,5,0,0,210,0,0,0,0,0,0,0
"387",2013,6,0,7516,4448,318,0,3427,0,2008,678,322
"388",2013,8,0,364,182,0,0,73,0,63,120,0
"389",2013,9,0,4537,1175,3354,0,946,0,337,535,107
"390",2013,10,0,0,0,0,0,0,0,0,0,0
"391",2013,11,0,317,160,0,0,0,0,0,0,0
"392",2013,12,0,11875,14483,4225,0,2931,0,1094,1829,569
"393",2013,13,0,2116,1558,424,0,0,0,156,434,43
"394",2013,15,0,187,0,0,0,45,0,27,0,0
"395",2013,16,0,0,0,0,0,0,0,0,0,0
"396",2013,17,0,426,610,78,0,182,0,103,243,0
"397",2013,18,0,269,210,0,0,82,0,0,143,0
"398",2013,19,0,378,0,0,0,0,0,0,0,0
"399",2013,20,0,246,0,0,0,0,0,0,0,0
"400",2013,21,0,0,124,0,0,0,0,0,0,0
"401",2013,22,0,138,218,440,0,0,0,0,0,0
"402",2013,23,0,229,0,0,0,134,0,0,0,0
"403",2013,24,0,1114,637,759,0,0,0,230,0,0
"404",2013,25,0,23475,7267,7652,0,4947,0,626,1052,814
"405",2013,26,0,238,514,0,0,0,0,88,137,0
"406",2013,27,0,134,230,0,0,0,0,102,96,0
"407",2013,29,0,115,147,0,0,135,0,0,117,0
"408",2013,30,0,39,0,194,0,0,0,0,0,0
"409",2013,31,0,0,0,0,0,0,0,0,0,0
"410",2013,32,0,167,301,0,0,0,0,0,0,0
"411",2013,33,0,477,125,0,0,183,0,0,193,0
"412",2013,34,0,8295,3568,5346,0,2240,0,230,314,606
"413",2013,35,0,0,251,0,0,0,0,0,0,0
"414",2013,36,0,5546,3990,1958,0,1070,0,2210,58,0
"415",2013,37,0,956,275,0,0,0,0,0,0,0
"416",2013,38,0,0,137,0,0,0,0,0,0,199
"417",2013,39,0,388,194,136,0,400,0,0,309,196
"418",2013,40,0,0,39,0,0,39,0,0,0,0
"419",2013,41,0,0,370,0,0,174,0,116,23,0
"420",2013,42,0,646,863,313,0,623,0,167,120,168
"421",2013,44,0,512,231,335,0,115,0,0,0,0
"422",2013,45,0,566,0,1182,0,200,0,220,0,0
"423",2013,47,0,123,234,11,0,0,0,0,126,0
"424",2013,48,0,1970,2420,403,0,434,0,376,709,146
"425",2013,49,0,257,1075,0,0,427,0,50,0,0
"426",2013,50,0,0,0,0,0,52,0,0,0,0
"427",2013,51,0,1010,653,586,0,188,0,0,225,0
"428",2013,53,0,588,550,144,0,389,0,38,115,149
"429",2013,54,0,12,0,0,0,0,0,0,0,0
"430",2013,55,0,513,150,46,0,0,0,0,0,0
"431",2013,56,0,0,0,0,0,20,0,0,0,0
"432",2014,1,367,79,63,0,0,0,219,213,0,0
"433",2014,2,0,59,0,0,0,0,64,0,0,0
"434",2014,4,1763,294,214,0,0,225,135,0,444,0
"435",2014,5,386,0,179,0,0,0,79,0,0,0
"436",2014,6,15236,6278,5077,352,54,1573,1186,1984,664,193
"437",2014,8,1725,71,67,254,0,0,0,0,0,0
"438",2014,9,4369,4470,1022,2644,148,637,74,352,0,69
"439",2014,10,54,67,0,0,0,0,0,0,0,0
"440",2014,11,642,59,208,59,0,0,0,0,153,0
"441",2014,12,28581,12482,9531,3820,1106,3248,1712,1345,2472,651
"442",2014,13,2668,2434,1152,54,0,257,156,209,61,140
"443",2014,15,179,93,0,26,0,0,101,0,67,0
"444",2014,16,34,63,0,0,0,44,0,0,0,0
"445",2014,17,1715,424,1153,0,0,143,456,314,39,0
"446",2014,18,391,237,26,0,0,250,105,0,0,0
"447",2014,19,338,0,154,0,0,0,116,0,0,0
"448",2014,20,133,444,0,0,0,0,0,0,28,0
"449",2014,21,564,0,0,0,0,0,14,0,0,0
"450",2014,22,847,1253,451,729,0,142,0,0,0,445
"451",2014,23,0,180,0,0,0,0,0,0,0,0
"452",2014,24,2260,1070,1101,105,143,249,407,230,0,0
"453",2014,25,12938,21311,4552,8852,1280,6007,690,873,590,634
"454",2014,26,3280,342,477,0,0,567,213,394,0,0
"455",2014,27,1771,0,252,204,0,0,0,321,431,376
"456",2014,28,236,0,131,39,0,0,191,0,0,0
"457",2014,29,804,338,159,0,0,0,447,0,134,0
"458",2014,31,126,0,137,0,0,0,0,0,0,0
"459",2014,32,1237,900,895,183,360,117,0,684,0,0
"460",2014,33,1103,417,110,0,267,945,67,0,0,0
"461",2014,34,9373,7214,3284,4807,597,3218,1189,286,304,185
"462",2014,35,584,174,375,0,0,0,165,0,0,0
"463",2014,36,9535,3834,3923,1212,212,679,668,507,961,306
"464",2014,37,2842,464,1213,567,59,133,0,132,36,0
"465",2014,38,311,391,0,0,0,0,0,0,0,65
"466",2014,39,1592,1035,315,102,250,569,310,0,79,303
"467",2014,40,92,708,131,0,0,0,0,0,0,0
"468",2014,41,913,159,69,58,0,20,0,0,0,121
"469",2014,42,3011,3771,468,4290,159,352,69,166,257,0
"470",2014,44,687,471,84,0,0,0,390,0,86,0
"471",2014,45,652,416,251,316,0,186,132,202,146,83
"472",2014,46,159,0,0,0,0,0,96,0,0,0
"473",2014,47,1705,124,232,0,133,0,0,90,36,58
"474",2014,48,7869,1976,1620,756,0,686,877,42,642,167
"475",2014,49,1195,298,602,0,0,157,71,201,0,0
"476",2014,51,1970,1297,406,33,0,77,73,126,64,0
"477",2014,53,1055,123,200,0,0,647,69,0,0,0
"478",2014,54,260,83,0,0,0,0,0,0,0,0
"479",2014,55,947,56,110,0,0,0,0,0,45,0
"480",2014,56,22,0,0,0,0,0,0,0,76,0
"481",2015,1,319,141,0,0,0,0,61,0,0,0
"482",2015,2,0,0,0,0,0,0,0,0,0,44
"483",2015,4,554,172,209,0,0,54,198,0,38,0
"484",2015,5,0,0,95,0,0,0,0,0,0,0
"485",2015,6,17314,5926,3704,332,0,2438,2674,1717,888,494
"486",2015,8,1690,94,293,74,0,162,336,0,102,60
"487",2015,9,4063,4482,2093,2817,260,909,600,139,180,54
"488",2015,10,386,718,61,84,0,0,0,51,0,0
"489",2015,11,390,91,44,0,0,0,0,54,56,0
"490",2015,12,30564,12680,14644,5152,1590,3726,2558,1468,1829,442
"491",2015,13,5454,4303,1091,522,0,889,366,438,202,145
"492",2015,15,378,468,422,0,0,169,0,0,64,0
"493",2015,16,564,0,0,0,0,86,80,0,0,0
"494",2015,17,3660,515,1242,0,0,238,457,575,127,0
"495",2015,18,1880,408,349,0,0,50,147,348,164,92
"496",2015,19,414,41,0,0,0,0,224,0,302,0
"497",2015,20,511,467,88,0,0,16,0,0,0,0
"498",2015,21,708,0,0,0,0,0,0,0,261,0
"499",2015,22,464,36,179,196,102,0,0,0,137,0
"500",2015,23,323,269,0,0,0,0,0,0,0,0
"501",2015,24,2567,1990,1186,1074,122,215,519,311,671,346
"502",2015,25,14924,20991,6571,8359,1345,4798,1033,254,1828,535
"503",2015,26,2879,568,349,0,42,439,193,0,0,29
"504",2015,27,745,16,22,0,39,173,37,0,300,0
"505",2015,28,0,200,116,0,0,0,0,0,0,0
"506",2015,29,507,151,87,0,0,0,822,0,191,0
"507",2015,31,112,65,0,0,0,93,0,0,0,0
"508",2015,32,690,1217,561,0,173,230,61,222,135,0
"509",2015,33,918,220,154,194,0,673,75,0,0,0
"510",2015,34,8999,7669,2511,3343,344,1533,819,194,643,0
"511",2015,35,11,0,0,0,0,0,71,0,202,0
"512",2015,36,8845,5590,1989,1386,102,548,493,1066,523,0
"513",2015,37,3381,344,404,414,0,239,628,0,304,0
"514",2015,38,310,26,0,0,0,0,41,0,0,0
"515",2015,39,1866,1381,801,124,0,299,217,0,74,0
"516",2015,40,0,83,0,0,0,43,0,0,0,0
"517",2015,41,1028,593,191,0,0,48,52,0,51,0
"518",2015,42,1908,2294,368,451,0,107,245,330,296,0
"519",2015,44,77,253,0,194,0,0,0,0,0,0
"520",2015,45,1118,959,94,412,0,280,187,60,0,135
"521",2015,47,265,169,0,0,0,0,0,0,0,0
"522",2015,48,11439,2907,1394,307,227,429,567,666,1327,109
"523",2015,49,944,469,222,31,0,1087,226,37,54,0
"524",2015,50,0,0,0,0,0,0,0,0,74,0
"525",2015,51,3597,971,1072,73,29,490,638,269,129,102
"526",2015,53,2115,841,659,116,72,0,0,120,0,18
"527",2015,54,213,0,0,0,0,0,0,0,0,0
"528",2015,55,398,305,72,0,0,146,207,61,0,0
"529",2016,1,308,0,0,0,0,0,0,0,0,0
"530",2016,2,147,0,0,0,0,0,0,0,0,0
"531",2016,4,1705,122,386,0,0,0,462,0,218,0
"532",2016,5,319,50,0,0,0,0,72,0,0,0
"533",2016,6,22210,5600,7993,779,499,3499,1825,1908,1721,8
"534",2016,8,1127,494,0,121,0,147,44,54,174,98
"535",2016,9,6392,6591,1623,4080,527,679,1311,66,0,177
"536",2016,10,0,0,0,212,0,0,0,0,0,0
"537",2016,11,744,286,48,0,0,0,349,108,0,0
"538",2016,12,37817,14624,16272,4544,1633,2162,1220,1916,2913,196
"539",2016,13,4364,3365,2071,838,87,306,473,534,186,135
"540",2016,15,480,441,179,0,41,0,134,71,17,0
"541",2016,16,387,34,169,0,0,361,0,0,0,0
"542",2016,17,2433,1381,452,128,228,0,397,0,214,0
"543",2016,18,395,682,76,0,62,62,0,0,0,0
"544",2016,19,75,0,0,178,0,0,0,0,0,0
"545",2016,20,421,190,173,0,0,0,86,219,0,0
"546",2016,21,637,0,172,0,0,0,296,0,0,0
"547",2016,22,1213,418,219,158,0,9,94,76,105,27
"548",2016,23,89,324,0,0,0,0,0,0,144,0
"549",2016,24,3441,2868,1319,851,92,353,604,360,271,0
"550",2016,25,17020,25156,6218,10934,662,5663,1688,591,1099,462
"551",2016,26,4355,78,207,108,0,129,315,29,196,0
"552",2016,27,1578,293,563,0,0,0,0,36,0,0
"553",2016,28,0,0,0,0,0,0,450,0,0,0
"554",2016,29,1080,288,0,155,0,0,0,128,109,0
"555",2016,30,16,0,0,0,53,0,0,0,0,0
"556",2016,31,187,0,115,0,0,0,0,0,0,0
"557",2016,32,616,404,425,0,179,138,0,0,89,64
"558",2016,33,669,980,0,204,0,284,133,96,0,0
"559",2016,34,10894,5878,3469,3741,1145,1518,600,629,113,176
"560",2016,35,303,423,221,0,0,0,153,0,0,161
"561",2016,36,10107,4615,3220,2409,636,627,708,1506,1227,576
"562",2016,37,2715,1471,311,668,0,286,548,0,179,0
"563",2016,38,0,0,0,0,54,0,0,0,0,0
"564",2016,39,1070,157,392,0,0,0,0,0,157,0
"565",2016,40,243,110,362,0,0,0,107,0,127,0
"566",2016,41,1467,627,291,0,123,66,0,114,0,274
"567",2016,42,6263,1881,1253,2167,0,668,48,41,328,329
"568",2016,44,368,0,166,91,0,218,192,0,123,0
"569",2016,45,1333,1034,262,272,0,167,73,13,87,0
"570",2016,47,745,86,75,187,0,94,0,0,0,136
"571",2016,48,9541,1976,2778,0,160,226,1091,276,1469,259
"572",2016,49,2055,1439,850,0,0,80,74,0,309,0
"573",2016,50,0,0,59,0,0,0,0,0,0,0
"574",2016,51,3050,1174,1029,0,0,35,274,69,563,0
"575",2016,53,1691,434,426,0,0,185,240,72,296,0
"576",2016,54,89,264,0,0,0,76,0,85,0,0
"577",2016,55,728,0,217,0,0,209,0,0,0,231
"578",2016,56,75,36,0,0,0,0,0,0,0,0
"579",2017,1,832,312,265,110,35,0,0,0,227,0
"580",2017,2,136,73,0,0,0,0,0,0,0,0
"581",2017,4,1413,392,819,0,100,8,63,182,0,0
"582",2017,5,318,92,382,0,0,76,141,0,63,0
"583",2017,6,22549,8271,8478,1392,250,3436,1904,1264,1586,238
"584",2017,8,814,230,110,83,434,57,0,0,42,0
"585",2017,9,3878,6378,1117,2728,125,940,194,437,136,59
"586",2017,10,957,126,0,104,0,0,0,0,0,0
"587",2017,11,891,152,285,0,0,0,151,0,0,0
"588",2017,12,55980,17958,14722,9884,1061,5740,3443,1889,2130,1377
"589",2017,13,6350,3655,1364,930,196,506,325,270,389,0
"590",2017,15,402,0,833,0,58,0,0,0,0,0
"591",2017,16,73,274,29,0,0,0,82,0,0,0
"592",2017,17,3556,1596,1625,0,0,410,339,402,113,0
"593",2017,18,347,337,268,0,0,663,434,0,0,0
"594",2017,19,940,0,0,0,0,0,610,0,0,0
"595",2017,20,2010,0,326,0,0,0,0,10,89,0
"596",2017,21,911,393,62,202,0,20,0,0,0,349
"597",2017,22,784,349,472,372,80,0,56,0,0,0
"598",2017,23,0,712,0,0,0,0,148,190,0,0
"599",2017,24,2501,1398,1020,441,61,402,1030,297,61,0
"600",2017,25,21509,29691,6230,12175,864,5646,1351,534,1023,1588
"601",2017,26,3116,364,311,0,0,74,1039,192,549,0
"602",2017,27,1397,841,0,70,77,253,333,0,0,0
"603",2017,28,281,120,149,0,0,0,0,0,71,0
"604",2017,29,4270,146,427,98,0,356,118,0,0,0
"605",2017,30,0,0,0,0,0,0,244,0,0,0
"606",2017,31,277,0,44,0,0,0,0,0,0,0
"607",2017,32,2201,684,457,303,0,843,0,109,120,157
"608",2017,33,574,497,528,0,0,0,0,0,0,0
"609",2017,34,10119,7761,2179,5308,541,2258,905,250,173,391
"610",2017,35,155,91,107,0,0,0,0,0,106,0
"611",2017,36,10103,3500,3477,932,496,1574,1017,1099,1271,258
"612",2017,37,2849,1419,1381,51,0,414,751,345,82,0
"613",2017,38,71,13,0,0,0,0,0,0,0,0
"614",2017,39,1827,503,645,0,210,119,0,0,28,0
"615",2017,40,680,285,253,0,27,162,42,0,0,0
"616",2017,41,859,791,262,192,0,0,207,0,70,19
"617",2017,42,4903,3631,487,984,138,81,443,387,419,0
"618",2017,44,301,253,432,147,0,0,0,0,83,0
"619",2017,45,1094,482,322,920,0,166,282,174,0,69
"620",2017,47,785,70,111,0,115,61,177,198,47,89
"621",2017,48,7701,2667,2511,224,122,1325,1260,368,557,98
"622",2017,49,2204,1439,1758,21,0,262,155,0,91,0
"623",2017,50,130,0,0,0,0,0,0,45,0,0
"624",2017,51,1117,1346,783,115,0,50,893,235,272,0
"625",2017,53,2112,2123,1028,615,0,0,0,111,836,0
"626",2017,54,110,0,0,0,0,0,16,0,0,0
"627",2017,55,640,304,25,0,0,0,0,203,0,0
"628",2017,56,0,0,56,0,0,0,0,0,0,184
"629",2018,1,1205,155,0,0,867,0,0,0,147,0
"630",2018,2,0,0,296,0,0,44,0,0,0,0
"631",2018,4,1389,853,272,78,70,0,160,117,0,78
"632",2018,5,836,13,195,0,0,115,197,0,0,0
"633",2018,6,22356,6441,5305,559,550,4286,1955,1913,1940,108
"634",2018,8,1419,125,482,0,0,120,0,166,105,90
"635",2018,9,6886,6852,1361,2992,265,1250,710,459,491,121
"636",2018,10,331,179,18,76,0,168,55,0,0,0
"637",2018,11,819,216,0,0,154,0,0,0,0,79
"638",2018,12,52781,14648,16291,7685,1324,4040,3487,3206,4298,359
"639",2018,13,4683,4790,2141,492,326,529,334,283,622,0
"640",2018,15,77,538,27,0,0,0,0,0,0,0
"641",2018,16,541,0,0,0,0,0,0,0,0,0
"642",2018,17,2548,580,1073,0,0,707,82,222,479,0
"643",2018,18,589,35,217,0,0,266,89,76,458,0
"644",2018,19,99,297,0,0,0,0,153,0,332,0
"645",2018,20,391,1114,483,0,0,456,0,0,0,0
"646",2018,21,781,0,47,0,0,119,86,0,0,0
"647",2018,22,1180,700,689,453,217,0,137,0,0,0
"648",2018,24,4128,3310,1008,878,62,651,124,537,168,0
"649",2018,25,25062,29904,5719,10289,903,5358,2289,403,1318,655
"650",2018,26,2826,229,1199,0,0,98,355,0,320,86
"651",2018,27,1115,511,359,0,0,0,467,0,0,0
"652",2018,28,548,0,225,0,0,0,32,0,0,134
"653",2018,29,640,259,445,38,496,0,165,164,0,0
"654",2018,30,150,0,0,0,0,0,0,0,0,0
"655",2018,31,0,876,0,0,0,692,106,0,0,0
"656",2018,32,1385,125,388,0,0,249,0,492,287,0
"657",2018,33,256,465,60,102,0,493,0,0,173,0
"658",2018,34,13577,8268,5538,4532,874,2127,1316,233,410,154
"659",2018,35,84,114,88,0,0,75,332,0,67,0
"660",2018,36,14086,4358,4286,1473,179,1087,1053,1767,879,269
"661",2018,37,3579,1199,794,546,87,273,415,298,562,0
"662",2018,39,1088,634,49,0,48,226,295,175,394,0
"663",2018,40,1454,765,0,0,0,0,0,0,353,0
"664",2018,41,1085,523,0,114,0,0,517,0,20,0
"665",2018,42,6068,1717,1433,1196,431,484,239,0,491,499
"666",2018,44,761,638,517,366,0,147,0,0,0,0
"667",2018,45,1544,427,137,458,0,574,69,0,0,0
"668",2018,47,970,384,156,58,0,27,334,156,164,0
"669",2018,48,12112,2868,1979,686,251,938,1068,241,509,188
"670",2018,49,3804,1727,1074,170,81,85,230,0,0,0
"671",2018,50,44,0,0,0,0,0,0,0,0,0
"672",2018,51,3345,1465,1075,153,0,225,911,461,388,83
"673",2018,53,2746,1745,706,733,0,308,88,93,456,0
"674",2018,54,129,54,74,0,0,0,0,0,0,0
"675",2018,55,1793,0,164,0,0,0,223,0,0,0
"676",2019,1,1535,0,134,13,0,45,0,128,0,0
"677",2019,2,0,0,89,158,0,0,0,0,0,20
"678",2019,4,2007,727,1074,0,0,131,352,248,226,0
"679",2019,5,748,142,0,0,0,0,0,0,0,0
"680",2019,6,22211,7288,7994,313,503,4032,2474,3216,1070,786
"681",2019,8,907,182,461,40,0,236,478,131,137,0
"682",2019,9,9063,6658,1197,2557,261,2869,568,717,450,124
"683",2019,10,196,23,27,0,0,121,45,0,0,0
"684",2019,11,1134,96,60,0,0,167,106,0,56,0
"685",2019,12,56076,13956,13733,7012,1077,3675,3082,3058,3175,432
"686",2019,13,7139,2456,1852,2140,99,574,531,189,481,48
"687",2019,15,280,208,687,0,0,0,90,52,0,0
"688",2019,16,273,43,47,0,0,40,64,0,0,0
"689",2019,17,3262,1397,720,0,0,495,439,48,85,72
"690",2019,18,1144,83,413,0,0,29,506,0,98,0
"691",2019,19,0,34,12,0,0,0,0,0,0,0
"692",2019,20,1005,942,233,317,0,166,0,117,0,0
"693",2019,21,526,47,0,75,0,102,534,0,113,0
"694",2019,22,883,286,97,0,0,0,227,36,84,0
"695",2019,23,179,396,0,0,0,0,0,0,34,0
"696",2019,24,2834,1664,428,309,177,112,359,277,0,517
"697",2019,25,26948,27183,7209,18321,1152,7244,1985,1327,2015,324
"698",2019,26,3932,114,609,162,0,280,160,259,904,0
"699",2019,27,1516,397,906,0,0,395,146,172,0,85
"700",2019,28,175,0,0,0,0,0,17,0,0,0
"701",2019,29,384,151,173,53,74,73,64,193,0,0
"702",2019,30,178,0,0,0,0,0,0,0,0,0
"703",2019,31,288,295,160,0,0,0,121,0,0,0
"704",2019,32,2340,626,1672,0,60,899,69,312,85,0
"705",2019,33,1179,1613,364,0,0,205,237,0,0,138
"706",2019,34,15681,11592,4599,5478,269,3140,915,109,533,0
"707",2019,35,71,70,39,0,0,0,74,0,0,0
"708",2019,36,15186,5128,4180,2333,387,1529,1928,1154,627,0
"709",2019,37,2405,1307,677,898,0,288,504,120,256,0
"710",2019,39,1981,1123,592,82,0,563,0,0,473,0
"711",2019,40,653,0,0,0,0,0,236,0,58,0
"712",2019,41,1553,180,0,0,0,56,304,0,0,0
"713",2019,42,6001,2533,1356,1875,86,719,584,0,140,70
"714",2019,44,974,117,366,0,0,366,142,0,271,135
"715",2019,45,2366,1029,406,902,453,291,150,46,245,0
"716",2019,47,1010,632,334,91,93,195,0,0,49,0
"717",2019,48,9509,2471,3360,0,0,372,1106,875,925,277
"718",2019,49,3884,1679,1092,282,431,122,138,193,0,0
"719",2019,50,35,0,0,0,0,0,0,0,0,0
"720",2019,51,2557,1596,577,398,89,211,472,85,50,87
"721",2019,53,2518,1879,1571,785,0,85,466,43,259,0
"722",2019,54,96,0,0,0,0,0,0,0,0,0
"723",2019,55,796,115,149,0,39,0,0,0,0,0
