,year,management_professional,services,sales_and_office,construction_and_extracion,maintenance_and_repair,production_transportation_and_material_moving,educational_instruction_and_library_occupations,arts_design_entertainment_sports_and_media_occupations,healthcare_practitioner_and_technical_occupations,other_2
1,2005,99042,84896,49016,41228,3960,28492,10364,5796,5779,0
2,2006,100142,89588,51716,44446,5449,26339,11122,7744,4175,0
3,2007,34629,88698,45822,54489,4455,25919,9433,6627,5277,0
4,2008,110700,93532,44445,35954,5294,19710,10467,5621,6174,0
5,2009,116112,99759,48075,34312,7251,22339,11484,6404,6455,0
6,2010,114180,97908,44704,33208,3498,19820,11126,7367,8257,0
7,2011,116489,91404,41236,27177,5618,22079,10384,6577,8976,0
8,2012,114842,79517,51618,23878,6251,17662,12368,9000,5725,0
9,2013,124727,76098,48271,28139,7018,19747,12611,8241,7757,0
10,2014,128521,75959,40394,29462,4768,21128,10541,8671,7815,0
11,2015,139492,81083,43337,25655,4447,20607,14832,8380,11152,0
12,2016,162962,86274,54061,32825,6181,18247,14061,8997,12434,0
13,2017,187027,101719,56140,38401,4990,25902,18153,9191,10634,0
14,2018,203290,100101,56370,34127,7185,26217,18073,11462,15831,0
15,2019,215618,98458,59649,44594,5250,29827,19673,13105,12899,0